Food,Grams,Calories,Protein,Fats,Fat,Carbs
"Peanut butter, natural",50,284,13,24,24,8
Peanuts,50,290,13,25,25,9
Pecans,52,343,5,35,35,7
Sesame seeds,50,280,9,24,24,10
Sunflower seeds,50,280,12,26,26,10
Walnuts,50,325,7,32,32,8
Beer,480,228,0,0,0,8
Gin,28,70,0,0,0,0
Wines,120,164,0,0,0,9
Table (12.2% alcohol),120,100,0,0,0,5
Carbonated drinks Artificially sweetened,346,0,0,0,0,0
Club soda,346,0,0,0,0,0
Cola drinks,346,137,0,0,0,38
Fruit-flavored soda,346,161,0,0,0,42
Ginger ale,346,105,0,0,0,28
Root beer,346,140,0,0,0,35
Coffee,230,3,0,0,0,1
Tea,230,4,0,0,0,1
